ID	Quelle	Titel	Autor_normalisiert	GND	Jahr	Geschlecht	Gattung	Gattung1	Gattung1 (Allgemeinwissenschaft)	Gattung2	Erzähltes Medium	Erzählerposition	Happyend	Epoche (nach Jahr)	Epoche (nach Fachwissenschaft)	Strömung	Ort	Verlag	Originalsprache	URI
k00100000085	Kernkorpus/TextGrid	Ninas Briefe an ihren Geliebten	Ehrmann, Marianne	11937160X	1788	f	Roman	-			Brief	homodiegetisch	Happyend	Aufklärung					de	textgrid:mr17.0
k00100000086	Kernkorpus/TextGrid	Ahnung und Gegenwart	Eichendorff, Joseph von	118529390	1815	m	Roman	Zeitroman::Entwicklungsroman::Bildungsroman::Künstlerroman::Weltanschauungsroman	Zeitroman	Zeit und Gesellschaft/Individuum und Entwicklung		heterodiegetisch	Happyend	Romantik	Romantik (4)	Romantik			de	textgrid:mr22.0
k00100000087	Kernkorpus/DTA	Dichter und ihre Gesellen	Eichendorff, Joseph von	118529390	1834	m	Roman	Künstlerroman::Episodenroman		Individuum und Entwicklung		heterodiegetisch	kein Happyend	Romantik	Romantik (1) | Romantik-Restauration (1)	Restauration			de	
k00100000088	Kernkorpus/TextGrid	Herr Lorenz Stark	Engel, Johann Jakob	11868468X	1795	m	Roman	Familienroman	Familienroman	Zeit und Gesellschaft		heterodiegetisch	Happyend	Aufklärung	Aufklärung (1)	Bürgerlichkeit::Klassik			de	textgrid:mv7b.0
k00100000089	Kernkorpus/TextGrid	Der schmale Weg zum Glück	Ernst, Paul	118530909	1937	m	Roman	Bildungsroman::autobiographischer Roman		Individuum und Entwicklung		heterodiegetisch	Happyend	Moderne	Moderne (1)	Neuklassik?			de	textgrid:mvn1.0
k00100000090	Kernkorpus/TextGrid	Der Taifun	Essig, Hermann	118531212	1919	m	Roman	-	Schlüsselroman			heterodiegetisch	Happyend	Moderne					de	textgrid:mvr8.0
k00100000091	Kernkorpus/TextGrid	Reich und arm	Felder, Franz Michael	118532367	1868	m	Roman	-				heterodiegetisch	Happyend	Realismus	Realismus (1)				de	textgrid:mwzm.0
k00100000092	Kernkorpus/TextGrid	Tom Jones. Die Geschichte eines Findlings	Fielding, Henry	118532960	1749	m	Roman	Humoristischer Roman::Sittenroman::Abenteuerroman::Entwicklungsroman::komisch-humoristischer Enthüllungsroman		Zeit und Gesellschaft		heterodiegetisch	Happyend	Aufklärung	Aufklärung (2)				en	textgrid:mwzw.0
k00100000093	Kernkorpus/TextGrid	Geschichtklitterung	Fischart, Johann	118533185	1575	m	Roman	Satirischer Roman::Moralsatire	Satirischer Roman	Zeit und Gesellschaft		gemischt	unbestimmbar	Frühe Neuzeit	Renaissance (2) | Renaissance-Humanismus (1)	Renaissance			de	textgrid:mx5w.0
k00100000094	Kernkorpus/TextGrid	Vierzehn Tage in Paris	Fischer, Caroline Auguste	118890263	1801	f	Roman	-				homodiegetisch	Happyend	Romantik					de	textgrid:mx7f.0
